index,index,time,tem
0,0,0.0,26.875
1,1,4.721079,26.875
2,2,9.521203,26.875
3,3,14.260175,26.875
4,4,18.958986,26.875
5,5,23.733627,26.875
6,6,28.585548,26.875
7,7,33.358091,26.875
8,8,38.241038,26.9375
9,9,43.03774,27.0
10,10,47.840632,27.0625
11,11,52.63803,27.125
12,12,57.471118,27.1875
13,13,62.236416,27.25
14,14,68.718449,27.3125
15,15,73.538019,27.375
16,16,78.317462,27.375
17,17,83.11745,27.4375
18,18,87.838013,27.4375
19,19,92.657905,27.5
20,20,98.397432,27.5625
21,21,103.199947,27.625
22,22,108.018589,27.6875
23,23,112.798844,27.6875
24,24,117.597341,27.75
25,25,122.317444,27.8125
26,26,127.137476,27.875
27,27,132.079788,27.9375
28,28,136.797616,28.0
29,29,141.677734,28.0625
30,30,146.478653,28.125
31,31,152.158158,28.1875
32,32,157.010815,28.1875
33,33,161.897594,28.25
34,34,166.637649,28.3125
35,35,171.359407,28.375
36,36,176.098747,28.4375
37,37,180.877016,28.4375
38,38,185.679495,28.5
39,39,190.560142,28.5625
40,40,195.358556,28.5625
41,41,199.998801,28.625
42,42,204.878448,28.75
43,43,209.715103,28.8125
44,44,214.399657,28.8125
45,45,219.119739,28.8125
46,46,223.919301,28.875
47,47,228.72327,28.9375
48,48,233.519513,29.0625
49,49,238.317087,29.0625
50,50,242.957171,29.125
51,51,247.597768,29.1875
52,52,252.761734,29.1875
53,53,257.597848,29.25
54,54,262.318079,29.3125
55,55,267.039209,29.375
56,56,271.837291,29.4375
57,57,276.399133,29.5
58,58,281.037976,29.5
59,59,285.759318,29.5625
60,60,290.399434,29.625
61,61,295.119449,29.6875
62,62,299.83827,29.75
63,63,304.559111,29.8125
64,64,309.219148,29.875
65,65,313.919861,29.9375
66,66,319.619373,29.9375
67,67,324.396319,29.9375
68,68,329.199522,29.9375
69,69,333.996794,30.0
70,70,338.738073,30.0
71,71,343.519965,30.125
72,72,348.678091,30.1875
73,73,353.498624,30.25
74,74,358.31775,30.25
